State,District,risk_score_v3,risk_tier_v3
Andhra Pradesh,Alluri Sitharama Raju,0.2613996,Low
Andhra Pradesh,Anakapalli,0.24529704,Low
Andhra Pradesh,Anantapuramu,0.84294826,Moderate
Andhra Pradesh,Annamayya,1.4355061,Moderate
Andhra Pradesh,Bapatla,1.0080862,Moderate
Andhra Pradesh,Chittoor,0.5992534,Low
Andhra Pradesh,Dr BR Ambedkar Konaseema,0.2838076,Low
Andhra Pradesh,East Godavari,2.0662875,Moderate
Andhra Pradesh,Eluru,0.5656418,Low
Andhra Pradesh,Guntakal Railway,0.38646856,Low
Andhra Pradesh,Guntur,0.6759063,Low
Andhra Pradesh,Kakinada,0.17827961,Low
Andhra Pradesh,Krishna,0.5360381,Low
Andhra Pradesh,Kurnool,0.8851129,Moderate
Andhra Pradesh,Nandyal,0.38484377,Low
Andhra Pradesh,NTR,0.9063784,Moderate
Andhra Pradesh,Palnadu,0.2781146,Low
Andhra Pradesh,Parvathipuram Manyam,0.31214705,Low
Andhra Pradesh,Prakasam,0.22427775,Low
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.20422761,Low
Andhra Pradesh,Sri Sathya Sai,0.9754885,Moderate
Andhra Pradesh,Srikakulam,0.296465,Low
Andhra Pradesh,Tirupati,1.0198247,Moderate
Andhra Pradesh,Viiayawada Railway,0.527063,Low
Andhra Pradesh,Visakhapatnam,0.046704043,Low
Andhra Pradesh,Vizianagaram,0.27712128,Low
Andhra Pradesh,West Godavari,0.35770896,Low
Andhra Pradesh,YSR,0.49513605,Low
Arunachal Pradesh,Anjaw,4.2543015,High
Arunachal Pradesh,Changlang,1.7446661,Moderate
Arunachal Pradesh,Crime Branch,2.927054,High
Arunachal Pradesh,Dibang Valley,2.5777156,High
Arunachal Pradesh,Kameng East,0.6323259,Low
Arunachal Pradesh,Kameng West,1.9215908,Moderate
Arunachal Pradesh,Kurung Kumey,2.0133657,Moderate
Arunachal Pradesh,Lohit,0.7722335,Low
Arunachal Pradesh,Longding,2.16621,Moderate
Arunachal Pradesh,Lower Dibang Valley,4.8667073,High
Arunachal Pradesh,Papum Pare City,2.402646,Moderate
Arunachal Pradesh,Papum Pare Rural,1.8361604,Moderate
Arunachal Pradesh,Siang East,0.57744074,Low
Arunachal Pradesh,Siang Upper,2.8391895,High
Arunachal Pradesh,Siang West,1.6451329,Moderate
Arunachal Pradesh,Subansiri Lower,1.735231,Moderate
Arunachal Pradesh,Subansiri Upper,5.9670897,High
Arunachal Pradesh,Tawang,3.0104208,High
Arunachal Pradesh,Tirap,7.804705,Critical
Arunachal Pradesh,Namsai,3.8959212,High
Arunachal Pradesh,Siang,4.3961434,High
Arunachal Pradesh,Kamle,2.3745422,Moderate
Arunachal Pradesh,Kra Dadi,3.9967797,High
Arunachal Pradesh,Lower Siang,4.8142943,High
Arunachal Pradesh,Leparada,0.47506803,Low
Arunachal Pradesh,Shiyomi,8.024376,Critical
Arunachal Pradesh,Pakkessang,1.6654358,Moderate
Assam,BIEO,0.24075252,Low
Assam,Barpeta,0.4489016,Low
Assam,Baksa,0.0030641158,Low
Assam,Bongaigaon,0.25473788,Low
Assam,CID,0.55157024,Low
Assam,Cachar,0.34842998,Low
Assam,Chirang,0.32890803,Low
Assam,Darrang,0.49664956,Low
Assam,Dhemaji,1.473344,Moderate
Assam,Dhubri,0.31952924,Low
Assam,Dibrugarh,0.16793403,Low
Assam,GRP,0.2259441,Low
Assam,Goalpara,0.5582371,Low
Assam,Golaghat,0.0,Low
Assam,Guwahati City,0.33599094,Low
Assam,Hailakandi,0.556458,Low
Assam,Hamren,0.8429637,Moderate
Assam,Jorhat,0.7390579,Low
Assam,Kamrup,0.43635842,Low
Assam,Karbi Anglong,0.15190263,Low
Assam,Karimganj,0.11882012,Low
Assam,Kokrajhar,0.12240861,Low
Assam,Lakhimpur,0.45448127,Low
Assam,Morigaon,0.2831864,Low
Assam,Dima Hasao,0.26736468,Low
Assam,Nagaon,0.10745494,Low
Assam,Nalbari,0.12430249,Low
Assam,RPO,2.1619565,Moderate
Assam,SOU,0.5064388,Low
Assam,STF,0.47351775,Low
